firstName,lastName,position,jerseyNumber,weight,height,classYear,hometown,highSchool
Henry,Hunt,Goaltender,1,200,6-2,Freshman,"Cedarburg, Wis.",Potomac Patriots
Lukas,Klemm,Defense,2,200,6-1,Freshman,"Stamford, Conn.",Johnstown Tomahawks (NAHL)
John,Larkin,Defense,3,195,6-2,Senior,"Northville, Mich.",Ohio State (BIG 10)
Jaryd,Sych,Defense,4,205,6-2,Junior,"Riceton, Sa.",Notre Dame Hounds (SJHL)
Caleb,Price,Defense,5,175,5-10,Graduate Student,"Hooksett, N.H.",New Jersey Jr. Titans (NAHL)
Trent,Sambrook,Defense,6,170,5-10,Junior,"Medora, Man.",Winkler Flyers (MJHL)
Tyler,DesRochers,Defense,7,180,6-0,Junior,"Howell, N.J.",Johnstown Tomahawks (NAHL)
Brendan,Lamb,Forward,8,180,5-10,Sophomore,"Battle Creek, Mi",Madison Capitols (USHL)
Sean,James,Forward,9,197,6-0,Junior,"Almonte, Ont.",Smith's Falls Bears (CCHL)
Francesco,Iasenza,Defense,10,208,6-1,Freshman,"Montréal, Québec",Victoriaville Tigres (QMJHL)
Barrett,Brooks,Forward,11,170,5-7,Senior,"Stevens Point, Wi.",Madison Capitals (USHL)
Andrew,LeBlanc,Forward,14,186,6-0,Freshman,"Wainfleet, Ontario",North Bay Battalion (OHL)
Dominik,Bartecko,Forward,15,175,5-9,Sophomore,"Nashville, Tn.",New Jersey Titans (NAHL)
Ryan,Coughlin,Forward,16,180,6-0,Senior,"Charlotte, N.C.",New Jersey Jr. Titans (NAHL)
Jacob,LeBlanc,Defense,18,192,6-1,Freshman,"Wainfleet, Ontario",North Bay Battalion (OHL)
Riley,Fitzgerald,Forward,19,165,5-10,Sophomore,"Wilmington, MA",New Jersey Titans (NAHL)
Kaden,Muir,Defense,20,190,6-2,Sophomore,"Toronto, Ont.",Austin Bruins (NAHL)
Will,Schumacher,Forward,21,175,5-11,Freshman,"Prior Lake, Minn.",Victoria Grizzlies (BCHL)
Noah,Sedore,Forward,22,170,5-9,Junior,"Sharon, Ontario",Erie Otters (OHL)
Christian,Kocsis,Forward,23,174,5-10,Sophomore,"Middletown, NJ",Omaha Lancers (USHL)
Matteo,Disipio,Forward,24,170,6-0,Sophomore,"Ottawa, Ont.",Rochester Jr Americans (NAHL)
Spencer,Smith,Forward,26,175,5-9,Junior,"St. Catharines, Ont.",Penticton Vees (BCHL)
Alexander,Dimitriadis,Forward,27,180,5-10,Freshman,"Richmond Hill, Ontario",Sherwood Park Crusaders (BCHL)
Tyler,Nasca,Defense,28,175,5-10,Senior,"Wheatfield, N.Y.",Lone Star Brahmas (NAHL)
Charles-Edward,Gravel,Goaltender,29,197,6-1,Freshman,"Lévis, Quebec",Prince George Spruce Kings (BCHL)
Salvatore,Evola,Goaltender,33,175,5-11,Senior,"Rochester, Mich.",Johnstown Tomahawks (NAHL)
Joey,Serpa,Forward,34,170,6-1,Junior,"Cambridge, Ontario",Oshawa General (OHL)
Connor,Pelc,Forward,37,190,6-2,Junior,"Hamburg, N.Y.",Sioux Falls Stampede (USHL)
Tyler,Haskins,Forward,43,190,6-1,Redshirt Senior,"Rochester, Minn.",Minnesota State (CCHA)
Simon,Bucheler,Goaltender,44,190,6-2,Junior,"Saint-Laurent, Qc.",Shreveport Mudbugs (NAHL)
